Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Продакт Разработчик Python AI;LATOKEN;Продакт Разработчик Python AI;https://tomsk.hh.ru/vacancy/110683187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик;ООО ЛЭМЗ-Т;Инженер-разработчик;https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс);Userstory;PHP-разработчик (1С-Битрикс);https://tomsk.hh.ru/vacancy/108407559?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL- разработчик;ООО Б5Групп;SQL- разработчик;https://tomsk.hh.ru/vacancy/110653659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ООО ЭЛИТА-ИМУЩЕСТВО;Программист 1С;https://tomsk.hh.ru/vacancy/108378003?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП;ООО ГК БИТ;Инженер-программист АСУ ТП;https://tomsk.hh.ru/vacancy/110375363?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик CAD систем (middle);АО ТомскНИПИнефть;C# разработчик CAD систем (middle);https://tomsk.hh.ru/vacancy/110192074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик;АО ИнфоТеКС;Ведущий разработчик;https://tomsk.hh.ru/vacancy/108442367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++ в команду PMC;UserGate;Разработчик C/С++ в команду PMC;https://tomsk.hh.ru/vacancy/107733323?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик С++ в Телеметрию;UserGate;Инженер-разработчик С++ в Телеметрию;https://tomsk.hh.ru/vacancy/101116134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ middle/senior;АО Научно-производственная фирма Микран;Программист C++ middle/senior;https://tomsk.hh.ru/vacancy/110196353?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик 1С:ERP (Томск);ООО ИТ-Элемент29;Ведущий разработчик 1С:ERP (Томск);https://tomsk.hh.ru/vacancy/110627773?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C++;АО Научно-производственная фирма Микран;Инженер-программист C++;https://tomsk.hh.ru/vacancy/110196384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python-разработчик (строительный домен, микросервисная архитектура);Sibedge;Сейчас смотрят 3 человека;https://tomsk.hh.ru/vacancy/110697483?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Python разработчик;Антереал;Middle Python разработчик;https://tomsk.hh.ru/vacancy/80229280?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист C++/Qt;АО Научно-производственная фирма Микран;Ведущий программист C++/Qt;https://tomsk.hh.ru/vacancy/110196380?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Kernel developer (Linux-like systems);UserGate;Kernel developer (Linux-like systems);https://tomsk.hh.ru/vacancy/88448241?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист сопровождения 1С (ИТ-компания);ФТО;Специалист сопровождения 1С (ИТ-компания);https://tomsk.hh.ru/vacancy/103104420?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
